sector,INST_NAME,n_total,oa_share,n_total_sec
"Government Research
 Agencies",Bundesinstitut für Risikobewertung (BfR),1269,0.4310480693459417,25092
"Government Research
 Agencies",Bundeszentrale für gesundheitliche Aufklärung,16,0.1875,25092
"Government Research
 Agencies",Deutscher Wetterdienst,716,0.638268156424581,25092
"Government Research
 Agencies",Deutsches Archäologisches Institut,138,0.3115942028985507,25092
"Government Research
 Agencies",Deutsches Geodätisches Forschungsinstitut,52,0.40384615384615385,25092
"Government Research
 Agencies",Deutsches Zentrum für Altersfragen,94,0.35106382978723405,25092
"Government Research
 Agencies",Europäische Konferenz für Molekularbiologie (EMBO),12,0.6666666666666666,25092
"Government Research
 Agencies",Forschungsanstalt Geisenheim,72,0.09722222222222222,25092
"Government Research
 Agencies",Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA),245,0.39183673469387753,25092
"Government Research
 Agencies","Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",2867,0.4865713289152424,25092
"Government Research
 Agencies",Germany Trade & Invest,1,0,25092
"Government Research
 Agencies",Hessisches Landeskriminalamt,9,0.1111111111111111,25092
"Government Research
 Agencies",Institut für Arbeitsmarkt- und Berufsforschung (IAB) der Bundesagentur für Arbeit (BA),399,0.45112781954887216,25092
"Government Research
 Agencies",Institut für Vogelforschung - Vogelwarte Helgoland,215,0.3627906976744186,25092
"Government Research
 Agencies","Johann Heinrich von Thünen-Institut, Bundesinstitut für Ländliche Räume, Wald und Fischerei",1691,0.3211117681845062,25092
"Government Research
 Agencies","Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",1258,0.3449920508744038,25092
"Government Research
 Agencies",Konrad-Zuse-Zentrum für Informationstechnik,465,0.4817204301075269,25092
"Government Research
 Agencies",Länderinstitut für Bienenkunde Hohen Neuendorf e.V.,89,0.4943820224719101,25092
"Government Research
 Agencies","Landesamt für Bergbau, Energie und Geologie",91,0.07692307692307693,25092
"Government Research
 Agencies",Landesamt für Denkmalpflege Hessen,13,0.15384615384615385,25092
"Government Research
 Agencies",Landesamt für Denkmalpflege Sachsen,6,0.16666666666666666,25092
"Government Research
 Agencies","Landesamt für Natur, Umwelt und Verbraucherschutz NRW",26,0.15384615384615385,25092
"Government Research
 Agencies",Landesamt für Soziales und Versorgung des Landes Brandenburg,3,0,25092
"Government Research
 Agencies","Landesanstalt für Landwirtschaft und Gartenbau (LLG), Sachsen-Anhalt",138,0.34782608695652173,25092
"Government Research
 Agencies",Landesforschungsanstalt für Landwirtschaft und Fischerei MV,17,0.058823529411764705,25092
"Government Research
 Agencies",Landesgesundheitsamt Baden-Württemberg,24,0.16666666666666666,25092
"Government Research
 Agencies",Landesinstitut für Gesundheit und Arbeit des Landes Nordrhein-Westfalen (LIGA.NRW),1,0,25092
"Government Research
 Agencies",Landeskriminalamt Nordrhein-Westfalen,3,0,25092
"Government Research
 Agencies",Landeslabor Berlin-Brandenburg,2,0.5,25092
